ew_model,r,mkk_tev,constraint_id,tag,severity,points,evaluated,active,failed,vetoed,veto_fraction
custodial_rs_plr,0.05,1.0,B001,rigorous,HARD,9970,9970,9970,0,0,0.0
custodial_rs_plr,0.05,1.0,B002,rigorous,HARD,9970,9970,9970,0,0,0.0
custodial_rs_plr,0.05,1.0,B003,rigorous,HARD,9970,9970,9970,0,0,0.0
custodial_rs_plr,0.05,1.0,B004,rigorous,HARD,9970,9970,9970,0,0,0.0
custodial_rs_plr,0.05,1.0,B011,proxy,HARD,9970,9970,9970,0,0,0.0
custodial_rs_plr,0.05,1.0,B012,proxy,HARD,9970,9970,9970,9970,9970,1.0
custodial_rs_plr,0.05,1.0,B013,proxy,HARD,9970,9970,9970,0,0,0.0
custodial_rs_plr,0.05,1.0,B014,proxy,HARD,9970,9970,9970,0,0,0.0
custodial_rs_plr,0.05,1.0,B032,partial,INFO,9970,9970,9970,0,0,0.0
custodial_rs_plr,0.05,1.0,B033,partial,INFO,9970,9970,9970,0,0,0.0
custodial_rs_plr,0.05,1.0,B034,partial,INFO,9970,9970,9970,9970,0,0.0
custodial_rs_plr,0.05,1.0,C001,rigorous,HARD,9970,9970,9970,0,0,0.0
custodial_rs_plr,0.05,1.0,C002,proxy,HARD,9970,9970,9970,0,0,0.0
custodial_rs_plr,0.05,1.0,C003,partial,INFO,9970,9970,9970,0,0,0.0
custodial_rs_plr,0.05,1.0,CR001,proxy,HARD,9970,9970,9970,9970,9970,1.0
custodial_rs_plr,0.05,1.0,CR002,proxy,HARD,9970,9970,9970,9970,9970,1.0
custodial_rs_plr,0.05,1.0,CR003,proxy,HARD,9970,9970,9970,9970,9970,1.0
custodial_rs_plr,0.05,1.0,CR004,proxy,HARD,9970,9970,9970,9970,9970,1.0
custodial_rs_plr,0.05,1.0,CR007,proxy,HARD,9970,9970,9970,0,0,0.0
custodial_rs_plr,0.05,1.0,CR008,proxy,HARD,9970,9970,9970,9970,9970,1.0
custodial_rs_plr,0.05,1.0,CR010,proxy,HARD,9970,9970,9970,9970,9970,1.0
