r,mkk_tev,minimal_rows,minimal_evaluated,minimal_skipped,minimal_survives_strict,minimal_survives_inclusive,minimal_strict_survival_frac,minimal_inclusive_survival_frac,custodial_rows,custodial_evaluated,custodial_skipped,custodial_survives_strict,custodial_survives_inclusive,custodial_strict_survival_frac,custodial_inclusive_survival_frac,delta_strict_survival_frac,delta_inclusive_survival_frac
0.05,1.0,20000,9970,10030,0,0,0.0,0.0,20000,9970,10030,9970,0,1.0,0.0,1.0,0.0
0.05,2.0,20000,9925,10075,0,0,0.0,0.0,20000,9925,10075,9925,0,1.0,0.0,1.0,0.0
0.05,3.0,20000,9843,10157,0,0,0.0,0.0,20000,9843,10157,9843,0,1.0,0.0,1.0,0.0
0.05,5.0,20000,9783,10217,0,0,0.0,0.0,20000,9783,10217,9783,0,1.0,0.0,1.0,0.0
0.05,7.0,20000,9722,10278,0,0,0.0,0.0,20000,9722,10278,9722,9722,1.0,1.0,1.0,1.0
0.05,10.0,20000,9661,10339,0,0,0.0,0.0,20000,9661,10339,9661,9661,1.0,1.0,1.0,1.0
0.05,15.0,20000,9483,10517,0,0,0.0,0.0,20000,9483,10517,9483,9483,1.0,1.0,1.0,1.0
0.05,20.0,20000,9490,10510,9490,9490,1.0,1.0,20000,9490,10510,9490,9490,1.0,1.0,0.0,0.0
0.05,30.0,20000,9548,10452,9548,9548,1.0,1.0,20000,9548,10452,9548,9548,1.0,1.0,0.0,0.0
0.05,50.0,20000,9364,10636,9364,9364,1.0,1.0,20000,9364,10636,9364,9364,1.0,1.0,0.0,0.0
0.1,1.0,20000,18249,1751,0,0,0.0,0.0,20000,18249,1751,0,0,0.0,0.0,0.0,0.0
0.1,2.0,20000,18302,1698,0,0,0.0,0.0,20000,18302,1698,18302,0,1.0,0.0,1.0,0.0
0.1,3.0,20000,18289,1711,0,0,0.0,0.0,20000,18289,1711,18289,0,1.0,0.0,1.0,0.0
0.1,5.0,20000,18198,1802,0,0,0.0,0.0,20000,18198,1802,18198,0,1.0,0.0,1.0,0.0
0.1,7.0,20000,18198,1802,0,0,0.0,0.0,20000,18198,1802,18198,18198,1.0,1.0,1.0,1.0
0.1,10.0,20000,18231,1769,0,0,0.0,0.0,20000,18231,1769,18231,18231,1.0,1.0,1.0,1.0
0.1,15.0,20000,18212,1788,0,0,0.0,0.0,20000,18212,1788,18212,18212,1.0,1.0,1.0,1.0
0.1,20.0,20000,18209,1791,0,0,0.0,0.0,20000,18209,1791,18209,18209,1.0,1.0,1.0,1.0
0.1,30.0,20000,18163,1837,18163,18163,1.0,1.0,20000,18163,1837,18163,18163,1.0,1.0,0.0,0.0
0.1,50.0,20000,18061,1939,18061,18061,1.0,1.0,20000,18061,1939,18061,18061,1.0,1.0,0.0,0.0
